1,s1,¦Á,¦Â,s3,¦Á,¦Â,s2,¦Á,¦Â
,,0.0,0.495,,0.495,0.7525,,0.7525,1.0
2,s1,¦Á,¦Â,s4,¦Á,¦Â,s2,¦Á,¦Â
,,0.0,0.2793,,0.2793,0.8603,,0.8603,1.0
3,s5,¦Á,¦Â,s7,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.039,,0.039,0.688,,0.688,1.0
4,s5,¦Á,¦Â,s8,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.0577,,0.0577,0.5381,,0.5381,1.0
5,s9,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.1397,,0.1397,0.7207,,0.7207,1.0
6,s9,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.1397,,0.1397,0.7207,,0.7207,1.0
7,s13,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.076,,0.076,0.3921,,0.3921,1.0
8,s13,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.039,,0.039,0.688,,0.688,1.0
9,s1,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s7,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.1235,,0.1235,0.1877,,0.1877,0.4553,,0.4553,0.9691,,0.9691,1.0
10,s1,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s7,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.1613,,0.1613,0.2451,,0.2451,0.2888,,0.2888,0.9597,,0.9597,1.0
11,s1,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s8,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.1026,,0.1026,0.3161,,0.3161,0.7609,,0.7609,0.9743,,0.9743,1.0
12,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s8,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.176,,0.176,0.5422,,0.5422,0.5898,,0.5898,0.956,,0.956,1.0
13,s1,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s7,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.1016,,0.1016,0.1544,,0.1544,0.3744,,0.3744,0.7969,,0.7969,1.0
14,s1,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s7,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.1258,,0.1258,0.1912,,0.1912,0.2252,,0.2252,0.7485,,0.7485,1.0
15,s1,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s8,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.087,,0.087,0.268,,0.268,0.645,,0.645,0.826,,0.826,1.0
16,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s8,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.1346,,0.1346,0.4145,,0.4145,0.4509,,0.4509,0.7309,,0.7309,1.0
17,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s7,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.0658,,0.0658,0.1343,,0.1343,0.4195,,0.4195,0.9671,,0.9671,1.0
18,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s7,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.0877,,0.0877,0.1789,,0.1789,0.2264,,0.2264,0.9561,,0.9561,1.0
19,s2,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s8,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.0541,,0.0541,0.2791,,0.2791,0.7479,,0.7479,0.973,,0.973,1.0
20,s2,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s8,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.0965,,0.0965,0.498,,0.498,0.5503,,0.5503,0.9517,,0.9517,1.0
21,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s7,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.0535,,0.0535,0.1091,,0.1091,0.3409,,0.3409,0.786,,0.786,1.0
22,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s7,¦Á,¦Â,s6,¦Á,¦Â
,,0.0,0.0671,,0.0671,0.1369,,0.1369,0.1732,,0.1732,0.7316,,0.7316,1.0
